Entry,Source MAC,Destination MAC,L2 Type,IP Version,IHL,TOS,Length,Identifier,Flags,Fragment,TTL,Protocol,Checksum,L3 Options,Source IP,Destination IP,Transport,Source Port,Destination Port,Sequence,Acknowledgement,Offset,Reserved,Flags,Window,Transport Checksum,Urgent Pointer,L4 Options,
3163,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17465,A,0,63,6,57425,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658065166,5,0,A,10033,Not Applicable,53825,0,[]
3164,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17466,A,0,63,6,57424,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658066626,5,0,A,10026,Not Applicable,52372,0,[]
3165,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17467,A,0,63,6,57423,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658068086,5,0,A,10033,Not Applicable,50905,0,[]
3166,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17468,A,0,63,6,57422,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658069546,5,0,A,10026,Not Applicable,49452,0,[]
3167,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17469,A,0,63,6,57421,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658071006,5,0,A,10033,Not Applicable,47985,0,[]
3168,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,174,34593,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658076331,3797762870,5,0,PA,8195,Not Applicable,6118,0,[]
3169,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17470,A,0,63,6,57420,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658072466,5,0,A,10033,Not Applicable,46525,0,[]
3170,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17471,A,0,63,6,57419,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658073926,5,0,A,10033,Not Applicable,45065,0,[]
3171,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17472,A,0,63,6,57418,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658075386,5,0,A,10026,Not Applicable,43612,0,[]
3172,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17473,A,0,63,6,57417,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076331,5,0,A,10033,Not Applicable,42660,0,[]
3173,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17474,A,0,63,6,57416,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076465,5,0,A,10033,Not Applicable,42526,0,[]
3174,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17474,A,0,63,6,57416,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076465,5,0,A,10033,Not Applicable,42526,0,[]
3175,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17474,A,0,63,6,57416,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076465,5,0,A,10033,Not Applicable,42526,0,[]
3176,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,56,34594,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658076465,3797762870,5,0,PA,8195,Not Applicable,6000,0,[]
3177,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17475,A,0,63,6,57415,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076481,5,0,A,10033,Not Applicable,42510,0,[]
3178,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,158,34595,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658076481,3797762870,5,0,PA,8195,Not Applicable,6102,0,[]
3179,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3180,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3181,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3182,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2054,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3183,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3184,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,17476,A,0,63,6,57414,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076599,5,0,A,10033,Not Applicable,42392,0,[]
3185,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,592,57475,PA,0,128,6,0,[],10.10.2.10,52.44.123.101,TCP,57855,443,332649141,171138384,5,0,PA,1026,Not Applicable,48615,0,[]
3186,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,389,13615,PA,0,235,6,40350,[],52.44.123.101,10.10.2.10,TCP,443,57855,171138384,332649693,5,0,PA,1291,Not Applicable,42618,0,[]
3187,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,57476,A,0,128,6,0,[],10.10.2.10,52.44.123.101,TCP,57855,443,332649693,171138733,5,0,A,1025,Not Applicable,48063,0,[]
3188,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34596,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658076599,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3189,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34597,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658076634,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3190,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17477,A,0,63,6,57413,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658076634,5,0,A,10033,Not Applicable,42357,0,[]
3191,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,542,34599,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658078115,3797762870,5,0,PA,8195,Not Applicable,6486,0,[]
3192,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17478,A,0,63,6,57412,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078094,5,0,A,10033,Not Applicable,40897,0,[]
3193,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17479,A,0,63,6,57411,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078115,5,0,A,10033,Not Applicable,40876,0,[]
3194,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17480,A,0,63,6,57410,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078617,5,0,A,10033,Not Applicable,40374,0,[]
3195,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17480,A,0,63,6,57410,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078617,5,0,A,10033,Not Applicable,40374,0,[]
3196,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17480,A,0,63,6,57410,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078617,5,0,A,10033,Not Applicable,40374,0,[]
3197,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17480,A,0,63,6,57410,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078617,5,0,A,10033,Not Applicable,40374,0,[]
3198,e0:63:da:26:7c:90,01:80:c2:00:00:0e,35020,4,5,0,40,17480,A,0,63,6,57410,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078617,5,0,A,10033,Not Applicable,40374,0,[]
3199,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,188,34600,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658078617,3797762870,5,0,PA,8195,Not Applicable,6132,0,[]
3200,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17481,A,0,63,6,57409,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078765,5,0,A,10033,Not Applicable,40226,0,[]
3201,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,215,34601,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658078765,3797762870,5,0,PA,8195,Not Applicable,6159,0,[]
3202,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17482,A,0,63,6,57408,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078940,5,0,A,10033,Not Applicable,40051,0,[]
3203,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34602,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658078940,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3204,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17483,A,0,63,6,57407,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658078975,5,0,A,10033,Not Applicable,40016,0,[]
3205,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,421,34603,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658078975,3797762870,5,0,PA,8195,Not Applicable,6365,0,[]
3206,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17484,A,0,63,6,57406,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079356,5,0,A,10033,Not Applicable,39635,0,[]
3207,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17484,A,0,63,6,57406,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079356,5,0,A,10033,Not Applicable,39635,0,[]
3208,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17484,A,0,63,6,57406,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079356,5,0,A,10033,Not Applicable,39635,0,[]
3209,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,56,34604,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658079356,3797762870,5,0,PA,8195,Not Applicable,6000,0,[]
3210,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17485,A,0,63,6,57405,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079372,5,0,A,10033,Not Applicable,39619,0,[]
3211,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,158,34605,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658079372,3797762870,5,0,PA,8195,Not Applicable,6102,0,[]
3212,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17486,A,0,63,6,57404,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079490,5,0,A,10033,Not Applicable,39501,0,[]
3213,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34606,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658079490,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3214,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34607,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658079525,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3215,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17487,A,0,63,6,57403,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658079525,5,0,A,10033,Not Applicable,39466,0,[]
3216,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17488,A,0,63,6,57402,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658080985,5,0,A,10033,Not Applicable,38006,0,[]
3217,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17489,A,0,63,6,57401,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081005,5,0,A,10033,Not Applicable,37986,0,[]
3218,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,545,34609,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658081005,3797762870,5,0,PA,8195,Not Applicable,6489,0,[]
3219,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17490,A,0,63,6,57400,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081510,5,0,A,10033,Not Applicable,37481,0,[]
3220,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17490,A,0,63,6,57400,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081510,5,0,A,10033,Not Applicable,37481,0,[]
3221,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17490,A,0,63,6,57400,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081510,5,0,A,10033,Not Applicable,37481,0,[]
3222,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17490,A,0,63,6,57400,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081510,5,0,A,10033,Not Applicable,37481,0,[]
3223,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17490,A,0,63,6,57400,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081510,5,0,A,10033,Not Applicable,37481,0,[]
3224,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,79,46846,PA,0,128,6,0,[],10.10.2.10,104.16.249.249,TCP,59108,443,3538932890,1721730221,5,0,PA,1024,Not Applicable,28255,0,[]
3225,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,79,63029,PA,0,55,6,57173,[],104.16.249.249,10.10.2.10,TCP,443,59108,1721730221,3538932929,5,0,PA,71,Not Applicable,44279,0,[]
3226,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,46847,A,0,128,6,0,[],10.10.2.10,104.16.249.249,TCP,59108,443,3538932929,1721730260,5,0,A,1023,Not Applicable,28216,0,[]
3227,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,46847,A,0,128,6,0,[],10.10.2.10,104.16.249.249,TCP,59108,443,3538932929,1721730260,5,0,A,1023,Not Applicable,28216,0,[]
3228,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,592,57477,PA,0,128,6,0,[],10.10.2.10,52.44.123.101,TCP,57855,443,332649693,171138733,5,0,PA,1025,Not Applicable,48615,0,[]
3229,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34610,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658081510,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3230,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34611,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658081545,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3231,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17491,A,0,63,6,57399,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658081545,5,0,A,10033,Not Applicable,37446,0,[]
3232,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,501,34613,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658083068,3797762870,5,0,PA,8195,Not Applicable,6445,0,[]
3233,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17492,A,0,63,6,57398,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658083005,5,0,A,10033,Not Applicable,35986,0,[]
3234,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17493,A,0,63,6,57397,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658083068,5,0,A,10033,Not Applicable,35923,0,[]
3235,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17494,A,0,63,6,57396,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658083529,5,0,A,10031,Not Applicable,35464,0,[]
3236,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,389,13616,PA,0,235,6,40349,[],52.44.123.101,10.10.2.10,TCP,443,57855,171138733,332650245,5,0,PA,1291,Not Applicable,8774,0,[]
3237,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,57478,A,0,128,6,0,[],10.10.2.10,52.44.123.101,TCP,57855,443,332650245,171139082,5,0,A,1023,Not Applicable,48063,0,[]
3238,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,57478,A,0,128,6,0,[],10.10.2.10,52.44.123.101,TCP,57855,443,332650245,171139082,5,0,A,1023,Not Applicable,48063,0,[]
3239,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34614,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658083529,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3240,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34615,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658083564,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3241,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17495,A,0,63,6,57395,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658083564,5,0,A,10033,Not Applicable,35427,0,[]
3242,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17496,A,0,63,6,57394,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658085024,5,0,A,10031,Not Applicable,33969,0,[]
3243,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17497,A,0,63,6,57393,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658086484,5,0,A,10024,Not Applicable,32516,0,[]
3244,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17498,A,0,63,6,57392,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658087944,5,0,A,10033,Not Applicable,31047,0,[]
3245,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17499,A,0,63,6,57391,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658089404,5,0,A,10033,Not Applicable,29587,0,[]
3246,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17500,A,0,63,6,57390,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658090864,5,0,A,10033,Not Applicable,28127,0,[]
3247,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17501,A,0,63,6,57389,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658092324,5,0,A,10026,Not Applicable,26674,0,[]
3248,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17502,A,0,63,6,57388,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658093784,5,0,A,10018,Not Applicable,25222,0,[]
3249,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17503,A,0,63,6,57387,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658095244,5,0,A,10033,Not Applicable,23747,0,[]
3250,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17504,A,0,63,6,57386,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658096704,5,0,A,10033,Not Applicable,22287,0,[]
3251,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,174,34626,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658099109,3797762870,5,0,PA,8195,Not Applicable,6118,0,[]
3252,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17505,A,0,63,6,57385,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658098164,5,0,A,10026,Not Applicable,20834,0,[]
3253,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17506,A,0,63,6,57384,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099109,5,0,A,10033,Not Applicable,19882,0,[]
3254,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17507,A,0,63,6,57383,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099243,5,0,A,10033,Not Applicable,19748,0,[]
3255,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17507,A,0,63,6,57383,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099243,5,0,A,10033,Not Applicable,19748,0,[]
3256,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,56,34627,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658099243,3797762870,5,0,PA,8195,Not Applicable,6000,0,[]
3257,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17508,A,0,63,6,57382,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099259,5,0,A,10033,Not Applicable,19732,0,[]
3258,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,158,34628,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658099259,3797762870,5,0,PA,8195,Not Applicable,6102,0,[]
3259,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17509,A,0,63,6,57381,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099377,5,0,A,10033,Not Applicable,19614,0,[]
3260,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17509,A,0,63,6,57381,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099377,5,0,A,10033,Not Applicable,19614,0,[]
3261,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,84,54228,PA,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235073,3031875846,5,0,PA,1023,Not Applicable,5286,0,[]
3262,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,215,37199,PA,0,109,6,26482,[],52.242.211.89,10.10.2.10,TCP,443,53778,3031875846,2120235117,5,0,PA,7576,Not Applicable,37022,0,[]
3263,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,54229,A,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235117,3031876021,5,0,A,1029,Not Applicable,5242,0,[]
3264,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,54229,A,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235117,3031876021,5,0,A,1029,Not Applicable,5242,0,[]
3265,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,54229,A,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235117,3031876021,5,0,A,1029,Not Applicable,5242,0,[]
3266,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,54229,A,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235117,3031876021,5,0,A,1029,Not Applicable,5242,0,[]
3267,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2054,4,5,0,40,54229,A,0,128,6,0,[],10.10.2.10,52.242.211.89,TCP,53778,443,2120235117,3031876021,5,0,A,1029,Not Applicable,5242,0,[]
3268,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,75,34629,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658099377,3797762870,5,0,PA,8195,Not Applicable,6019,0,[]
3269,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,34630,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658099412,3797762870,5,0,PA,8195,Not Applicable,5964,0,[]
3270,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17510,A,0,63,6,57380,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658099412,5,0,A,10033,Not Applicable,19579,0,[]
3271,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,542,34632,PA,0,128,6,0,[],10.10.2.10,10.10.1.40,TCP,54114,9997,3658100896,3797762870,5,0,PA,8195,Not Applicable,6486,0,[]
3272,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17511,A,0,63,6,57379,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658100872,5,0,A,10033,Not Applicable,18119,0,[]
3273,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17512,A,0,63,6,57378,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658100896,5,0,A,10033,Not Applicable,18095,0,[]
3274,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,17513,A,0,63,6,57377,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658101398,5,0,A,10033,Not Applicable,17593,0,[]
3275,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2054,4,5,0,40,17513,A,0,63,6,57377,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658101398,5,0,A,10033,Not Applicable,17593,0,[]
3276,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,17513,A,0,63,6,57377,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658101398,5,0,A,10033,Not Applicable,17593,0,[]
3277,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,17513,A,0,63,6,57377,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658101398,5,0,A,10033,Not Applicable,17593,0,[]
3278,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2054,4,5,0,40,17513,A,0,63,6,57377,[],10.10.1.40,10.10.2.10,TCP,9997,54114,3797762870,3658101398,5,0,A,10033,Not Applicable,17593,0,[]
