Entry,Source MAC,Destination MAC,L2 Type,IP Version,IHL,TOS,Length,Identifier,Flags,Fragment,TTL,Protocol,Checksum,L3 Options,Source IP,Destination IP,Transport,Source Port,Destination Port,Sequence,Acknowledgement,Offset,Reserved,Flags,Window,Transport Checksum,Urgent Pointer,L4 Options,
25,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,86,45679,Not Applicable,0,128,17,0,[],10.10.2.10,10.10.1.2,TCP,51924,53,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,66,6003,Not Applicable,Not Applicable
26,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,162,34800,Not Applicable,0,127,17,39995,[],10.10.1.2,10.10.2.10,TCP,53,51924,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,142,45201,Not Applicable,Not Applicable
27,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,52,32526,S,0,128,6,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014799119,0,8,0,S,64240,Not Applicable,5976,0,"[('MSS', 1460), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]"
28,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,52,21886,SA,0,127,6,36628,[],10.10.1.20,10.10.2.10,TCP,389,59081,50996370,1014799120,8,0,SA,65535,Not Applicable,28759,0,"[('MSS', 1460), ('NOP', None), ('WScale', 8), ('NOP', None), ('NOP', None), ('SAckOK', b'')]"
29,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,40,32527,A,0,128,6,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014799120,50996371,5,0,A,8212,Not Applicable,5964,0,[]
30,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,0,32528,PA,0,128,6,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014799120,50996371,5,0,PA,8212,Not Applicable,5944,0,[]
31,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,29,32530,,0,255,1,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014799120,50996371,5,0,,8212,Not Applicable,5944,0,[]
32,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,40,21887,A,0,127,6,36639,[],10.10.1.20,10.10.2.10,TCP,389,59081,50996371,1014800991,5,0,A,8212,Not Applicable,35271,0,[]
33,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,252,21888,PA,0,127,6,36426,[],10.10.1.20,10.10.2.10,TCP,389,59081,50996371,1014800991,5,0,PA,8212,Not Applicable,39795,0,[]
34,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,252,21889,PA,0,127,6,36425,[],10.10.1.20,10.10.2.10,TCP,389,59081,50996371,1014800991,5,0,PA,8212,Not Applicable,39795,0,[]
35,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,52,32531,A,0,128,6,0,[],10.10.2.10,10.10.1.20,TCP,59081,389,1014800991,50996583,8,0,A,8211,Not Applicable,5976,0,"[('NOP', None), ('NOP', None), ('SAck', (50996371, 50996583))]"
36,98:fa:9b:55:34:46,74:83:c2:10:c2:6d,2048,4,5,0,715,9056,Not Applicable,0,128,17,0,[],10.10.2.10,142.251.33.68,TCP,56656,443,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,695,48923,Not Applicable,Not Applicable
37,74:83:c2:10:c2:6d,98:fa:9b:55:34:46,2048,4,5,0,58,0,Not Applicable,0,46,17,36960,[],142.251.33.68,10.10.2.10,TCP,443,56656,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,38,48161,Not Applicable,Not Applicable
